Enhet;År;Kommunenummer;Kommune;Bosetting;Antall
Personer;1995;0723;Tjøme (t.o.m. 2017);Anmodning om bosetting;.
Personer;1995;0723;Tjøme (t.o.m. 2017);Faktisk bosetting;.
Personer;1995;0723;Tjøme (t.o.m. 2017);Vedtak om bosetting;.
Personer;1995;0728;Lardal (t.o.m. 2017);Anmodning om bosetting;.
Personer;1995;0728;Lardal (t.o.m. 2017);Faktisk bosetting;.
Personer;1995;0728;Lardal (t.o.m. 2017);Vedtak om bosetting;.
Personer;1995;0805;;Anmodning om bosetting;50
Personer;1995;0805;;Faktisk bosetting;.
Personer;1995;0805;;Vedtak om bosetting;26
Personer;1995;0806;;Anmodning om bosetting;54
Personer;1995;0806;;Faktisk bosetting;.
Personer;1995;0806;;Vedtak om bosetting;26
Personer;1995;0807;;Anmodning om bosetting;0
Personer;1995;0807;;Faktisk bosetting;.
Personer;1995;0807;;Vedtak om bosetting;4
Personer;1995;0811;;Anmodning om bosetting;20
Personer;1995;0811;;Faktisk bosetting;.
Personer;1995;0811;;Vedtak om bosetting;0
Personer;1995;0814;;Anmodning om bosetting;20
Personer;1995;0814;;Faktisk bosetting;.
Personer;1995;0814;;Vedtak om bosetting;7
Personer;1995;0815;;Anmodning om bosetting;20
Personer;1995;0815;;Faktisk bosetting;.
Personer;1995;0815;;Vedtak om bosetting;20
Personer;1995;0817;;Anmodning om bosetting;0
Personer;1995;0817;;Faktisk bosetting;.
Personer;1995;0817;;Vedtak om bosetting;4
Personer;1995;0819;;Anmodning om bosetting;20
Personer;1995;0819;;Faktisk bosetting;.
Personer;1995;0819;;Vedtak om bosetting;20
Personer;1995;0821;Bø (Telemark)  (t.o.m. 2019);Anmodning om bosetting;10
Personer;1995;0821;Bø (Telemark)  (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0821;Bø (Telemark)  (t.o.m. 2019);Vedtak om bosetting;3
Personer;1995;0822;Sauherad (t.o.m. 2019);Anmodning om bosetting;25
Personer;1995;0822;Sauherad (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0822;Sauherad (t.o.m. 2019);Vedtak om bosetting;10
Personer;1995;0826;;Anmodning om bosetting;10
Personer;1995;0826;;Faktisk bosetting;.
Personer;1995;0826;;Vedtak om bosetting;6
Personer;1995;0827;;Anmodning om bosetting;.
Personer;1995;0827;;Faktisk bosetting;.
Personer;1995;0827;;Vedtak om bosetting;.
Personer;1995;0828;;Anmodning om bosetting;0
Personer;1995;0828;;Faktisk bosetting;.
Personer;1995;0828;;Vedtak om bosetting;15
Personer;1995;0829;;Anmodning om bosetting;.
Personer;1995;0829;;Faktisk bosetting;.
Personer;1995;0829;;Vedtak om bosetting;.
Personer;1995;0830;;Anmodning om bosetting;.
Personer;1995;0830;;Faktisk bosetting;.
Personer;1995;0830;;Vedtak om bosetting;.
Personer;1995;0831;;Anmodning om bosetting;.
Personer;1995;0831;;Faktisk bosetting;.
Personer;1995;0831;;Vedtak om bosetting;.
Personer;1995;0833;;Anmodning om bosetting;.
Personer;1995;0833;;Faktisk bosetting;.
Personer;1995;0833;;Vedtak om bosetting;20
Personer;1995;0834;;Anmodning om bosetting;.
Personer;1995;0834;;Faktisk bosetting;.
Personer;1995;0834;;Vedtak om bosetting;.
