Kommune,År (intervall),År,Kjønn,Alder,Krefttyper,Måltall,Antall,SortKjonn,SortKommune
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",86.2,1,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",63.5,1,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",94.3,1,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",45.2,1,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",69.9,1,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,2
Hele landet,2014-2023,2023-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",690.6,2,2
Hele landet,2014-2023,2023-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",88.7,2,2
Hele landet,2014-2023,2023-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",64.8,2,2
Hele landet,2014-2023,2023-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",99.5,2,2
Hele landet,2014-2023,2023-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",46.1,2,2
Hele landet,2014-2023,2023-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",0.9,2,2
Hele landet,2014-2023,2023-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,2
Hele landet,2014-2023,2023-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",196.0,2,2
Hele landet,2014-2023,2023-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",613.5,3,2
Hele landet,2014-2023,2023-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",83.7,3,2
Hele landet,2014-2023,2023-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",62.0,3,2
Hele landet,2014-2023,2023-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",89.0,3,2
Hele landet,2014-2023,2023-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",44.3,3,2
Hele landet,2014-2023,2023-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",140.0,3,2
Hele landet,2014-2023,2023-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.5,3,2
Hele landet,2014-2023,2023-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,2
Hele landet,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",649.9,1,2
Hele landet,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",85.7,1,2
