Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Hjartdal,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
