Geografi,År,Kjønn,Alder,Svarkategori,sosial status,Måltall,value
Seljord,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",14.931193926878
Seljord,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",:
Seljord,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",:
Seljord,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Seljord,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",23.8379819341033
Seljord,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",14.7064675159407
Seljord,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",32.7978840312824
Hjartdal,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",22.8469821689581
Hjartdal,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",18.2717325083016
Hjartdal,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",27.6113794355874
Hjartdal,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Hjartdal,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Hjartdal,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Hjartdal,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Hjartdal,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Hjartdal,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
