ï»¿ogc_fid;ssbid250m;pop_tot
1230;23532506676750;3
1231;23505006676000;2
1232;23505006676250;1
1233;23552506674250;2
1234;23552506674500;6
1235;23537506676000;1
1236;23537506676250;3
1237;23562506674000;1
1238;23585006676750;4
1239;23587506677000;3
1240;23577506676500;2
1241;23562506678750;5
1242;23560006678750;3
1243;23565006678750;1
1244;23590006679000;1
1245;23557506680000;2
1246;23392506675750;1
1247;23392506676000;1
1248;23395006676500;3
1249;23395006677000;4
1250;23392506676750;1
1251;23392506677000;5
1252;23390006677000;5
1253;23382506676750;3
1254;23397506678000;2
1255;23395006678000;1
1256;23390006677750;2
1257;23395006678750;3
1258;23387506678250;2
1259;23387506678500;2
1260;23392506678500;2
1261;23392506678750;7
1262;23387506678750;4
1263;23392506679000;6
1264;23407506679750;4
1265;23467506679000;1
1266;23390006679000;1
1267;23387506679250;1
1268;23392506679250;3
1269;23387506679750;2
1270;23385006679750;2
1271;23382506680250;2
1272;23382506680500;4
1273;23390006679750;2
1274;23387506680500;3
1275;23390006680750;1
1276;23387506680750;2
1277;23392506680750;4
1278;23387506681250;1
1279;23397506681250;6
1280;23395006681500;2
1281;23385006680500;2
1282;23385006680750;1
1283;23385006681250;3
1284;23385006681500;2
1285;23382506681750;5
1286;23390006681500;2
1287;23387506681500;2
1288;23387506681750;5
1289;23390006681750;2
1290;23395006681750;4
1291;23397506681750;1
1292;23395006682000;9
1293;23395006682250;12
1294;23397506682250;3
1295;23385006681750;1
1296;23382506682000;8
1297;23382506682250;4
1298;23382506682500;3
1299;23465006680750;2
1300;23465006681000;2
1301;23462506681250;1
1302;23405006679750;4
1303;23410006680000;3
1304;23410006680250;2
1305;23407506681250;2
1306;23407506681750;2
1307;23462506683000;1
1308;23392506682500;3
1309;23392506682750;7
1310;23390006683000;8
1311;23392506683000;2
1312;23400006682250;4
1313;23397506682500;1
1314;23395006682500;7
1315;23395006682750;2
1316;23385006683250;3
1317;23385006683500;6
1318;23382506683500;2
1319;23385006683750;4
1320;23382506683750;9
1321;23385006684000;4
1322;23382506684000;10
1323;23400006684500;10
1324;23385006684750;1
1325;23385006685250;2
1326;23400006684750;6
1327;23397506685000;2
1328;23400006685000;17
1329;23400006685250;3
1330;23395006685500;4
1331;23397506685500;5
1332;23387506685250;3
1333;23392506685250;3
1334;23390006685250;2
1335;23387506685500;7
1336;23475006679250;2
1337;23535006682500;1
1338;23525006686000;7
1339;23520006687250;1
1340;23487506685500;1
1341;23482506687250;3
1342;23495006687250;2
1343;23500006687500;12
1344;23495006687500;5
1345;23495006687750;5
1346;23500006687750;2
1347;23497506687750;26
1348;23510006687750;3
1349;23522506687000;4
