Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Nordland,2864.0,2.3,-405.0,-12.0,2016,Oktober,2.7
Oppland,1720.0,1.8,-121.0,-7.0,2016,Oktober,1.9
Oslo,11081.0,3.0,-988.0,-8.0,2016,Oktober,3.3
Rogaland,11408.0,4.4,1135.0,11.0,2016,Oktober,4.0
Sogn og Fjordane,894.0,1.5,-112.0,-11.0,2016,Oktober,1.7
Sør-Trøndelag,3933.0,2.3,-267.0,-6.0,2016,Oktober,2.5
Telemark,2255.0,2.6,-622.0,-22.0,2016,Oktober,3.3
Troms,1631.0,1.9,-126.0,-7.0,2016,Oktober,2.0
Ukjent,5.0,,-29.0,-85.0,2016,Oktober,
Vest-Agder,3176.0,3.3,-30.0,-1.0,2016,Oktober,3.4
Vestfold,3815.0,3.0,233.0,7.0,2016,Oktober,2.9
Østfold,4164.0,2.9,-485.0,-10.0,2016,Oktober,3.2
Øvrige områder,18.0,,4.0,29.0,2016,Oktober,
Akershus,7003.0,2.2,-544.0,-7.0,2016,November,2.4
Aust-Agder,2001.0,3.5,-148.0,-7.0,2016,November,3.7
Buskerud,3702.0,2.5,-250.0,-6.0,2016,November,2.7
Finnmark,1198.0,3.0,11.0,1.0,2016,November,3.0
Hedmark,1930.0,2.0,-247.0,-11.0,2016,November,2.2
Hordaland,9402.0,3.4,1111.0,13.0,2016,November,3.0
Landet,78157.0,2.8,-1002.0,-1.0,2016,November,2.9
Møre og Romsdal,4325.0,3.1,368.0,9.0,2016,November,2.8
Nord-Trøndelag,1417.0,2.0,-328.0,-19.0,2016,November,2.6
Nordland,2894.0,2.3,-248.0,-8.0,2016,November,2.6
Oppland,1745.0,1.8,-126.0,-7.0,2016,November,1.9
Oslo,10720.0,2.9,-843.0,-7.0,2016,November,3.2
Rogaland,11705.0,4.5,1171.0,11.0,2016,November,4.1
Sogn og Fjordane,912.0,1.6,-124.0,-12.0,2016,November,1.8
Sør-Trøndelag,3846.0,2.3,-281.0,-7.0,2016,November,2.5
Telemark,2350.0,2.7,-578.0,-20.0,2016,November,3.4
Troms,1743.0,2.0,9.0,1.0,2016,November,2.0
Ukjent,,,,,2016,November,
Vest-Agder,3162.0,3.3,-26.0,-1.0,2016,November,3.4
Vestfold,3821.0,3.1,375.0,11.0,2016,November,2.8
Østfold,4262.0,3.0,-281.0,-6.0,2016,November,3.2
Øvrige områder,16.0,,2.0,14.0,2016,November,
Akershus,6978.0,2.2,-539.0,-7.0,2016,Desember,2.4
Aust-Agder,2015.0,3.5,-284.0,-12.0,2016,Desember,4.0
Buskerud,3750.0,2.6,-232.0,-6.0,2016,Desember,2.7
Finnmark,1188.0,3.0,-149.0,-11.0,2016,Desember,3.4
Hedmark,1926.0,2.0,-310.0,-14.0,2016,Desember,2.3
Hordaland,9555.0,3.4,1261.0,15.0,2016,Desember,3.0
Landet,78556.0,2.8,-2290.0,-3.0,2016,Desember,3.0
Møre og Romsdal,4440.0,3.1,364.0,9.0,2016,Desember,2.9
Nord-Trøndelag,1458.0,2.1,-295.0,-17.0,2016,Desember,2.6
Nordland,2874.0,2.3,-434.0,-13.0,2016,Desember,2.7
Oppland,1720.0,1.8,-208.0,-11.0,2016,Desember,2.0
Oslo,10603.0,2.8,-1031.0,-9.0,2016,Desember,3.2
Rogaland,11617.0,4.5,662.0,6.0,2016,Desember,4.3
Sogn og Fjordane,964.0,1.6,-165.0,-15.0,2016,Desember,2.0
Sør-Trøndelag,3834.0,2.3,-316.0,-8.0,2016,Desember,2.5
Telemark,2425.0,2.8,-540.0,-18.0,2016,Desember,3.4
Troms,1803.0,2.1,29.0,2.0,2016,Desember,2.1
Ukjent,,,,,2016,Desember,
Vest-Agder,3181.0,3.3,-44.0,-1.0,2016,Desember,3.5
Vestfold,3850.0,3.1,327.0,9.0,2016,Desember,2.8
Østfold,4356.0,3.0,-367.0,-8.0,2016,Desember,3.3
Øvrige områder,17.0,,7.0,70.0,2016,Desember,
Akershus,7714.0,2.5,-728.0,-9.0,2017,Januar,2.7
Aust-Agder,2260.0,3.9,-453.0,-17.0,2017,Januar,4.7
Buskerud,4055.0,2.8,-471.0,-10.0,2017,Januar,3.1
Finnmark,1520.0,3.8,-19.0,-1.0,2017,Januar,3.8
Hedmark,2158.0,2.2,-403.0,-16.0,2017,Januar,2.6
Hordaland,10316.0,3.7,676.0,7.0,2017,Januar,3.5
Landet,88238.0,3.2,-5046.0,-5.0,2017,Januar,3.4
Møre og Romsdal,5108.0,3.6,388.0,8.0,2017,Januar,3.3
Nord-Trøndelag,1630.0,2.3,-371.0,-19.0,2017,Januar,2.9
Nordland,3373.0,2.7,-288.0,-8.0,2017,Januar,2.9
Oppland,1994.0,2.0,-333.0,-14.0,2017,Januar,2.4
Oslo,11796.0,3.2,-1449.0,-11.0,2017,Januar,3.6
Rogaland,12779.0,4.9,158.0,1.0,2017,Januar,4.8
Sogn og Fjordane,1081.0,1.8,-335.0,-24.0,2017,Januar,2.4
Sør-Trøndelag,4476.0,2.6,-600.0,-12.0,2017,Januar,3.0
Telemark,3035.0,3.5,-446.0,-13.0,2017,Januar,4.0
Troms,1968.0,2.2,-78.0,-4.0,2017,Januar,2.3
Ukjent,,,,,2017,Januar,
Vest-Agder,3600.0,3.8,-346.0,-9.0,2017,Januar,4.1
Vestfold,4433.0,3.5,313.0,8.0,2017,Januar,3.3
Østfold,4925.0,3.4,-250.0,-5.0,2017,Januar,3.6
Øvrige områder,16.0,,5.0,45.0,2017,Januar,
Akershus,7460.0,2.4,-803.0,-10.0,2017,Februar,2.6
Aust-Agder,2089.0,3.6,-479.0,-19.0,2017,Februar,4.4
Buskerud,4032.0,2.8,-386.0,-9.0,2017,Februar,3.0
Finnmark,1417.0,3.5,-9.0,-1.0,2017,Februar,3.6
Hedmark,2230.0,2.3,-218.0,-9.0,2017,Februar,2.5
Hordaland,9787.0,3.5,109.0,1.0,2017,Februar,3.5
Landet,84802.0,3.1,-6101.0,-7.0,2017,Februar,3.3
Møre og Romsdal,4802.0,3.4,190.0,4.0,2017,Februar,3.3
Nord-Trøndelag,1592.0,2.3,-319.0,-17.0,2017,Februar,2.7
Nordland,3074.0,2.5,-422.0,-12.0,2017,Februar,2.8
Oppland,1971.0,2.0,-251.0,-11.0,2017,Februar,2.3
Oslo,11478.0,3.1,-1431.0,-11.0,2017,Februar,3.5
Rogaland,12111.0,4.6,-339.0,-3.0,2017,Februar,4.8
Sogn og Fjordane,1114.0,1.9,-212.0,-16.0,2017,Februar,2.3
Sør-Trøndelag,4335.0,2.6,-540.0,-11.0,2017,Februar,2.9
Telemark,3061.0,3.5,-277.0,-8.0,2017,Februar,3.8
Troms,1835.0,2.1,-162.0,-8.0,2017,Februar,2.3
Ukjent,,,,,2017,Februar,
Vest-Agder,3354.0,3.5,-360.0,-10.0,2017,Februar,3.9
Vestfold,4326.0,3.5,250.0,6.0,2017,Februar,3.3
Østfold,4723.0,3.3,-425.0,-8.0,2017,Februar,3.6
Øvrige områder,10.0,,-3.0,-23.0,2017,Februar,
Akershus,7151.0,2.3,-1116.0,-13.0,2017,Mars,2.6
Aust-Agder,1947.0,3.4,-499.0,-20.0,2017,Mars,4.2
Buskerud,3885.0,2.7,-480.0,-11.0,2017,Mars,3.0
Finnmark,1374.0,3.4,26.0,2.0,2017,Mars,3.4
Hedmark,2067.0,2.1,-386.0,-16.0,2017,Mars,2.5
Hordaland,9403.0,3.4,-305.0,-3.0,2017,Mars,3.5
Landet,81327.0,2.9,-8007.0,-9.0,2017,Mars,3.2
Møre og Romsdal,4540.0,3.2,-225.0,-5.0,2017,Mars,3.4
Nord-Trøndelag,1540.0,2.2,-298.0,-16.0,2017,Mars,2.6
Nordland,2961.0,2.4,-364.0,-11.0,2017,Mars,2.7
Oppland,1853.0,1.9,-314.0,-14.0,2017,Mars,2.2
Oslo,11232.0,3.0,-1420.0,-11.0,2017,Mars,3.4
Rogaland,11362.0,4.4,-739.0,-6.0,2017,Mars,4.6
Sogn og Fjordane,1129.0,1.9,-188.0,-14.0,2017,Mars,2.2
Sør-Trøndelag,4110.0,2.4,-565.0,-12.0,2017,Mars,2.8
Telemark,2841.0,3.3,-385.0,-12.0,2017,Mars,3.7
Troms,1786.0,2.0,-138.0,-7.0,2017,Mars,2.2
Ukjent,,,,,2017,Mars,
Vest-Agder,3251.0,3.4,-481.0,-13.0,2017,Mars,3.9
Vestfold,4249.0,3.4,273.0,7.0,2017,Mars,3.2
Østfold,4636.0,3.2,-391.0,-8.0,2017,Mars,3.5
Øvrige områder,10.0,,2.0,25.0,2017,Mars,
Akershus,6973.0,2.2,-780.0,-10.0,2017,April,2.5
Aust-Agder,1833.0,3.2,-339.0,-16.0,2017,April,3.8
Buskerud,3804.0,2.6,-331.0,-8.0,2017,April,2.8
Finnmark,1413.0,3.5,83.0,6.0,2017,April,3.3
Hedmark,2065.0,2.1,-293.0,-12.0,2017,April,2.4
Hordaland,9152.0,3.3,-258.0,-3.0,2017,April,3.4
Landet,78212.0,2.8,-7259.0,-8.0,2017,April,3.1
Møre og Romsdal,4273.0,3.0,-337.0,-7.0,2017,April,3.3
Nord-Trøndelag,1546.0,2.2,-162.0,-9.0,2017,April,2.4
Nordland,2833.0,2.3,-384.0,-12.0,2017,April,2.6
Oppland,1756.0,1.8,-263.0,-13.0,2017,April,2.1
Oslo,10708.0,2.9,-1663.0,-13.0,2017,April,3.3
Rogaland,10865.0,4.2,-898.0,-8.0,2017,April,4.5
Sogn og Fjordane,1007.0,1.7,-197.0,-16.0,2017,April,2.1
Sør-Trøndelag,3974.0,2.4,-471.0,-11.0,2017,April,2.6
Telemark,2641.0,3.0,-331.0,-11.0,2017,April,3.4
Troms,1765.0,2.0,-124.0,-7.0,2017,April,2.2
Ukjent,,,,,2017,April,
Vest-Agder,3153.0,3.3,-399.0,-11.0,2017,April,3.7
Vestfold,4039.0,3.2,176.0,5.0,2017,April,3.1
Østfold,4405.0,3.1,-274.0,-6.0,2017,April,3.3
Øvrige områder,7.0,,-5.0,-42.0,2017,April,
Akershus,6370.0,2.0,-961.0,-13.0,2017,Mai,2.3
Aust-Agder,1664.0,2.9,-442.0,-21.0,2017,Mai,3.6
Buskerud,3556.0,2.4,-250.0,-7.0,2017,Mai,2.6
Finnmark,1211.0,3.0,-87.0,-7.0,2017,Mai,3.2
Hedmark,1910.0,1.9,-201.0,-10.0,2017,Mai,2.1
Hordaland,8188.0,2.9,-802.0,-9.0,2017,Mai,3.2
Landet,70927.0,2.6,-9415.0,-12.0,2017,Mai,2.9
Møre og Romsdal,3723.0,2.6,-540.0,-13.0,2017,Mai,3.0
Nord-Trøndelag,1454.0,2.1,-98.0,-6.0,2017,Mai,2.2
Nordland,2568.0,2.1,-477.0,-16.0,2017,Mai,2.4
Oppland,1459.0,1.5,-333.0,-19.0,2017,Mai,1.8
Oslo,9971.0,2.6,-1698.0,-15.0,2017,Mai,3.1
Rogaland,9847.0,3.9,-1252.0,-11.0,2017,Mai,4.3
Sogn og Fjordane,855.0,1.4,-127.0,-13.0,2017,Mai,1.7
Sør-Trøndelag,3772.0,2.2,-284.0,-7.0,2017,Mai,2.4
Telemark,2373.0,2.8,-439.0,-16.0,2017,Mai,3.2
Troms,1633.0,1.8,-121.0,-7.0,2017,Mai,2.0
Ukjent,,,,,2017,Mai,
Vest-Agder,2760.0,3.0,-666.0,-19.0,2017,Mai,3.6
Vestfold,3676.0,2.9,-66.0,-2.0,2017,Mai,3.0
Østfold,3928.0,2.7,-560.0,-12.0,2017,Mai,3.1
Øvrige områder,8.0,,-6.0,-43.0,2017,Mai,
Akershus,6640.0,2.1,-765.0,-10.0,2017,Juni,2.4
Aust-Agder,1748.0,3.1,-363.0,-17.0,2017,Juni,3.7
Buskerud,3650.0,2.5,-325.0,-8.0,2017,Juni,2.7
Finnmark,1221.0,3.0,-58.0,-5.0,2017,Juni,3.2
Hedmark,1842.0,1.9,-326.0,-15.0,2017,Juni,2.2
Hordaland,8352.0,3.0,-907.0,-10.0,2017,Juni,3.3
Landet,71482.0,2.6,-9483.0,-12.0,2017,Juni,2.9
Møre og Romsdal,3736.0,2.7,-428.0,-10.0,2017,Juni,2.9
Nord-Trøndelag,1386.0,2.0,-158.0,-10.0,2017,Juni,2.2
Nordland,2526.0,2.0,-551.0,-18.0,2017,Juni,2.5
Oppland,1524.0,1.5,-251.0,-14.0,2017,Juni,1.8
Oslo,10181.0,2.7,-1589.0,-14.0,2017,Juni,3.2
Rogaland,9535.0,3.7,-1753.0,-16.0,2017,Juni,4.3
Sogn og Fjordane,846.0,1.4,-64.0,-7.0,2017,Juni,1.6
Sør-Trøndelag,3655.0,2.1,-339.0,-8.0,2017,Juni,2.4
Telemark,2407.0,2.8,-252.0,-9.0,2017,Juni,3.0
Troms,1655.0,1.9,-134.0,-7.0,2017,Juni,2.0
Ukjent,,,,,2017,Juni,
Vest-Agder,2861.0,3.1,-550.0,-16.0,2017,Juni,3.6
Vestfold,3673.0,2.9,-83.0,-2.0,2017,Juni,3.0
Østfold,4038.0,2.8,-565.0,-12.0,2017,Juni,3.2
Øvrige områder,5.0,,-14.0,-74.0,2017,Juni,
Akershus,7155.0,2.2,-880.0,-11.0,2017,Juli,2.6
Aust-Agder,1893.0,3.3,-532.0,-22.0,2017,Juli,4.2
Buskerud,4044.0,2.8,-301.0,-7.0,2017,Juli,3.0
Finnmark,1319.0,3.3,-112.0,-8.0,2017,Juli,3.6
Hedmark,1923.0,2.0,-436.0,-18.0,2017,Juli,2.4
Hordaland,8987.0,3.2,-1115.0,-11.0,2017,Juli,3.6
Landet,77431.0,2.8,-10305.0,-12.0,2017,Juli,3.2
Møre og Romsdal,4027.0,2.9,-615.0,-13.0,2017,Juli,3.3
Nord-Trøndelag,1544.0,2.2,-199.0,-11.0,2017,Juli,2.5
Nordland,2667.0,2.1,-678.0,-20.0,2017,Juli,2.7
Oppland,1573.0,1.6,-330.0,-17.0,2017,Juli,1.9
Oslo,11287.0,3.0,-1320.0,-10.0,2017,Juli,3.4
Rogaland,10119.0,4.0,-1831.0,-15.0,2017,Juli,4.6
Sogn og Fjordane,953.0,1.6,-40.0,-4.0,2017,Juli,1.7
Sør-Trøndelag,4045.0,2.4,-397.0,-9.0,2017,Juli,2.6
Telemark,2569.0,3.0,-266.0,-9.0,2017,Juli,3.2
Troms,1820.0,2.0,-180.0,-9.0,2017,Juli,2.3
Ukjent,,,,,2017,Juli,
Vest-Agder,3105.0,3.3,-559.0,-15.0,2017,Juli,3.9
Vestfold,4013.0,3.2,-106.0,-3.0,2017,Juli,3.3
Østfold,4382.0,3.1,-395.0,-8.0,2017,Juli,3.3
Øvrige områder,6.0,,-7.0,-54.0,2017,Juli,
Akershus,6870.0,2.1,-1073.0,-14.0,2017,August,2.5
Aust-Agder,1876.0,3.3,-355.0,-16.0,2017,August,3.9
Buskerud,3746.0,2.5,-293.0,-7.0,2017,August,2.8
Finnmark,1171.0,2.9,-162.0,-12.0,2017,August,3.3
Hedmark,1879.0,1.9,-338.0,-15.0,2017,August,2.3
Hordaland,8420.0,3.0,-1368.0,-14.0,2017,August,3.5
Landet,73918.0,2.7,-10751.0,-13.0,2017,August,3.1
Møre og Romsdal,3895.0,2.8,-676.0,-15.0,2017,August,3.2
Nord-Trøndelag,1564.0,2.2,-95.0,-6.0,2017,August,2.4
Nordland,2644.0,2.1,-552.0,-17.0,2017,August,2.6
Oppland,1548.0,1.6,-334.0,-18.0,2017,August,1.9
Oslo,10537.0,2.8,-1471.0,-12.0,2017,August,3.2
Rogaland,9590.0,3.8,-2158.0,-18.0,2017,August,4.5
Sogn og Fjordane,954.0,1.6,19.0,2.0,2017,August,1.6
Sør-Trøndelag,3985.0,2.3,-402.0,-9.0,2017,August,2.6
Telemark,2433.0,2.8,-229.0,-9.0,2017,August,3.0
Troms,1762.0,2.0,-86.0,-5.0,2017,August,2.1
Ukjent,,,,,2017,August,
Vest-Agder,2987.0,3.2,-553.0,-16.0,2017,August,3.7
Vestfold,3784.0,3.0,-164.0,-4.0,2017,August,3.2
Østfold,4261.0,3.0,-459.0,-10.0,2017,August,3.3
Øvrige områder,10.0,,2.0,25.0,2017,August,
Akershus,6389.0,2.0,-962.0,-13.0,2017,September,2.3
Aust-Agder,1782.0,3.1,-252.0,-12.0,2017,September,3.5
Buskerud,3480.0,2.4,-283.0,-8.0,2017,September,2.6
Finnmark,1082.0,2.7,-141.0,-12.0,2017,September,3.0
Hedmark,1796.0,1.8,-200.0,-10.0,2017,September,2.0
Hordaland,7890.0,2.8,-1330.0,-14.0,2017,September,3.3
Landet,68879.0,2.5,-9634.0,-12.0,2017,September,2.8
Møre og Romsdal,3564.0,2.5,-700.0,-16.0,2017,September,3.0
Nord-Trøndelag,1395.0,2.0,-50.0,-3.0,2017,September,2.1
Nordland,2460.0,2.0,-499.0,-17.0,2017,September,2.4
Oppland,1386.0,1.4,-292.0,-17.0,2017,September,1.7
Oslo,10165.0,2.7,-1117.0,-10.0,2017,September,3.0
Rogaland,8797.0,3.4,-2466.0,-22.0,2017,September,4.3
Sogn og Fjordane,847.0,1.4,-25.0,-3.0,2017,September,1.5
Sør-Trøndelag,3613.0,2.1,-340.0,-9.0,2017,September,2.3
Telemark,2198.0,2.6,-136.0,-6.0,2017,September,2.7
Troms,1516.0,1.7,-155.0,-9.0,2017,September,1.9
Ukjent,,,,,2017,September,
Vest-Agder,2728.0,2.9,-475.0,-15.0,2017,September,3.4
Vestfold,3607.0,2.9,-201.0,-5.0,2017,September,3.0
Østfold,4173.0,2.9,0.0,0.0,2017,September,2.9
Øvrige områder,10.0,,-7.0,-41.0,2017,September,
Akershus,6386.0,2.0,-879.0,-12.0,2017,Oktober,2.3
Aust-Agder,1719.0,3.0,-255.0,-13.0,2017,Oktober,3.4
Buskerud,3251.0,2.2,-520.0,-14.0,2017,Oktober,2.6
Finnmark,1055.0,2.6,-148.0,-12.0,2017,Oktober,3.0
Hedmark,1730.0,1.8,-176.0,-9.0,2017,Oktober,1.9
Hordaland,7447.0,2.7,-1600.0,-18.0,2017,Oktober,3.2
Landet,66012.0,2.4,-11810.0,-15.0,2017,Oktober,2.8
Møre og Romsdal,3476.0,2.5,-805.0,-19.0,2017,Oktober,3.0
Nord-Trøndelag,1303.0,1.8,-108.0,-8.0,2017,Oktober,2.0
Nordland,2407.0,1.9,-457.0,-16.0,2017,Oktober,2.3
Oppland,1415.0,1.4,-305.0,-18.0,2017,Oktober,1.8
Oslo,9830.0,2.6,-1251.0,-11.0,2017,Oktober,3.0
Rogaland,8356.0,3.3,-3052.0,-27.0,2017,Oktober,4.4
Sogn og Fjordane,776.0,1.3,-118.0,-13.0,2017,Oktober,1.5
Sør-Trøndelag,3302.0,1.9,-631.0,-16.0,2017,Oktober,2.3
Telemark,2067.0,2.4,-188.0,-8.0,2017,Oktober,2.6
Troms,1405.0,1.6,-226.0,-14.0,2017,Oktober,1.9
Ukjent,,,,,2017,Oktober,
Vest-Agder,2536.0,2.7,-640.0,-20.0,2017,Oktober,3.3
Vestfold,3489.0,2.8,-326.0,-9.0,2017,Oktober,3.0
Østfold,4053.0,2.8,-111.0,-3.0,2017,Oktober,2.9
Øvrige områder,8.0,,-10.0,-56.0,2017,Oktober,
Akershus,6219.0,1.9,-784.0,-11.0,2017,November,2.2
Aust-Agder,1690.0,3.0,-311.0,-16.0,2017,November,3.5
Buskerud,3207.0,2.2,-495.0,-13.0,2017,November,2.5
Finnmark,1057.0,2.6,-141.0,-12.0,2017,November,3.0
Hedmark,1723.0,1.8,-207.0,-11.0,2017,November,2.0
Hordaland,7425.0,2.7,-1977.0,-21.0,2017,November,3.4
Landet,64216.0,2.3,-13941.0,-18.0,2017,November,2.8
Møre og Romsdal,3359.0,2.4,-966.0,-22.0,2017,November,3.1
Nord-Trøndelag,1281.0,1.8,-136.0,-10.0,2017,November,2.0
Nordland,2240.0,1.8,-654.0,-23.0,2017,November,2.3
Oppland,1495.0,1.5,-250.0,-14.0,2017,November,1.8
Oslo,9412.0,2.5,-1308.0,-12.0,2017,November,2.9
Rogaland,7991.0,3.1,-3714.0,-32.0,2017,November,4.5
Sogn og Fjordane,784.0,1.3,-128.0,-14.0,2017,November,1.6
Sør-Trøndelag,3166.0,1.8,-680.0,-18.0,2017,November,2.3
Telemark,1957.0,2.3,-393.0,-17.0,2017,November,2.7
Troms,1401.0,1.6,-342.0,-20.0,2017,November,2.0
Ukjent,,,,,2017,November,
Vest-Agder,2466.0,2.6,-696.0,-22.0,2017,November,3.3
Vestfold,3420.0,2.7,-401.0,-10.0,2017,November,3.1
Østfold,3912.0,2.7,-350.0,-8.0,2017,November,3.0
Øvrige områder,9.0,,-7.0,-44.0,2017,November,
Akershus,6123.0,1.9,-855.0,-12.0,2017,Desember,2.2
Aust-Agder,1713.0,3.0,-302.0,-15.0,2017,Desember,3.5
Buskerud,3485.0,2.4,-265.0,-7.0,2017,Desember,2.6
Finnmark,1114.0,2.8,-74.0,-6.0,2017,Desember,3.0
Hedmark,1718.0,1.7,-208.0,-11.0,2017,Desember,2.0
Hordaland,7644.0,2.7,-1911.0,-20.0,2017,Desember,3.4
Landet,65375.0,2.4,-13181.0,-17.0,2017,Desember,2.8
Møre og Romsdal,3421.0,2.4,-1019.0,-23.0,2017,Desember,3.1
Nord-Trøndelag,1358.0,1.9,-100.0,-7.0,2017,Desember,2.1
Nordland,2393.0,1.9,-481.0,-17.0,2017,Desember,2.3
Oppland,1559.0,1.6,-161.0,-9.0,2017,Desember,1.8
Oslo,9284.0,2.5,-1319.0,-12.0,2017,Desember,2.8
Rogaland,8059.0,3.2,-3558.0,-31.0,2017,Desember,4.5
Sogn og Fjordane,878.0,1.5,-86.0,-9.0,2017,Desember,1.6
Sør-Trøndelag,3221.0,1.9,-613.0,-16.0,2017,Desember,2.3
Telemark,2080.0,2.4,-345.0,-14.0,2017,Desember,2.8
Troms,1441.0,1.6,-362.0,-20.0,2017,Desember,2.1
Ukjent,,,,,2017,Desember,
Vest-Agder,2496.0,2.7,-685.0,-22.0,2017,Desember,3.3
Vestfold,3387.0,2.7,-463.0,-12.0,2017,Desember,3.1
Østfold,3995.0,2.8,-361.0,-8.0,2017,Desember,3.0
Øvrige områder,4.0,,-13.0,-76.0,2017,Desember,
Akershus,6671.0,2.1,-1043.0,-14.0,2018,Januar,2.4
Aust-Agder,1913.0,3.4,-347.0,-15.0,2018,Januar,4.0
Buskerud,3642.0,2.5,-413.0,-10.0,2018,Januar,2.8
Finnmark Finnmárku,1243.0,3.1,-277.0,-18.0,2018,Januar,3.8
Hedmark,1943.0,2.0,-215.0,-10.0,2018,Januar,2.2
Hordaland,8163.0,2.9,-2153.0,-21.0,2018,Januar,3.7
Landet,71849.0,2.6,-16389.0,-19.0,2018,Januar,3.2
Møre og Romsdal,3943.0,2.8,-1165.0,-23.0,2018,Januar,3.6
Nordland,2724.0,2.2,-649.0,-19.0,2018,Januar,2.7
Oppland,1791.0,1.8,-203.0,-10.0,2018,Januar,2.0
Oslo,10238.0,2.7,-1558.0,-13.0,2018,Januar,3.1
Rogaland,8485.0,3.3,-4294.0,-34.0,2018,Januar,5.0
Sogn og Fjordane,987.0,1.7,-94.0,-9.0,2018,Januar,1.8
Telemark,2326.0,2.7,-709.0,-23.0,2018,Januar,3.5
Troms Romsa,1503.0,1.7,-465.0,-24.0,2018,Januar,2.2
Trøndelag,5396.0,2.2,-710.0,-12.0,2018,Januar,2.5
Ukjent,,,,,2018,Januar,
Vest-Agder,2713.0,2.9,-887.0,-25.0,2018,Januar,3.9
Vestfold,3758.0,3.0,-675.0,-15.0,2018,Januar,3.5
Østfold,4402.0,3.1,-523.0,-11.0,2018,Januar,3.4
Øvrige områder,7.0,,-9.0,-56.0,2018,Januar,
Akershus,6621.0,2.1,-839.0,-11.0,2018,Februar,2.3
Aust-Agder,1790.0,3.1,-299.0,-14.0,2018,Februar,3.7
Buskerud,3506.0,2.4,-526.0,-13.0,2018,Februar,2.7
Finnmark Finnmárku,1155.0,2.9,-262.0,-18.0,2018,Februar,3.5
Hedmark,1898.0,1.9,-332.0,-15.0,2018,Februar,2.3
Hordaland,8070.0,2.9,-1717.0,-18.0,2018,Februar,3.5
Landet,69789.0,2.5,-15013.0,-18.0,2018,Februar,3.1
Møre og Romsdal,3643.0,2.6,-1159.0,-24.0,2018,Februar,3.4
Nordland,2609.0,2.1,-465.0,-15.0,2018,Februar,2.5
Oppland,1677.0,1.7,-294.0,-15.0,2018,Februar,2.0
Oslo,10079.0,2.7,-1399.0,-12.0,2018,Februar,3.0
Rogaland,8019.0,3.1,-4092.0,-34.0,2018,Februar,4.7
Sogn og Fjordane,955.0,1.6,-159.0,-14.0,2018,Februar,1.9
Telemark,2369.0,2.8,-692.0,-23.0,2018,Februar,3.6
Troms Romsa,1535.0,1.7,-300.0,-16.0,2018,Februar,2.1
Trøndelag,5212.0,2.1,-715.0,-12.0,2018,Februar,2.4
Ukjent,,,,,2018,Februar,
Vest-Agder,2553.0,2.7,-801.0,-24.0,2018,Februar,3.6
Vestfold,3829.0,3.1,-497.0,-11.0,2018,Februar,3.5
Østfold,4260.0,3.0,-463.0,-10.0,2018,Februar,3.3
Øvrige områder,7.0,,-3.0,-30.0,2018,Februar,
Akershus,,6484.0,2.0,-667.0,2018,Mars,-9.0
Aust-Agder,,1736.0,3.1,-211.0,2018,Mars,-11.0
Buskerud,,3540.0,2.4,-345.0,2018,Mars,-9.0
Finnmark Finnmárku,,1135.0,2.8,-239.0,2018,Mars,-17.0
Hedmark,,1871.0,1.9,-196.0,2018,Mars,-9.0
Hordaland,,8108.0,2.9,-1295.0,2018,Mars,-14.0
Landet,,68835.0,2.5,-12492.0,2018,Mars,-15.0
Møre og Romsdal,,3601.0,2.6,-939.0,2018,Mars,-21.0
Nordland,,2442.0,2.0,-519.0,2018,Mars,-18.0
Oppland,,1639.0,1.7,-214.0,2018,Mars,-12.0
Oslo,,9910.0,2.6,-1322.0,2018,Mars,-12.0
Rogaland,,7848.0,3.1,-3514.0,2018,Mars,-31.0
Sogn og Fjordane,,972.0,1.6,-157.0,2018,Mars,-14.0
Telemark,,2343.0,2.7,-498.0,2018,Mars,-18.0
Troms Romsa,,1484.0,1.7,-302.0,2018,Mars,-17.0
Trøndelag,,5201.0,2.1,-449.0,2018,Mars,-8.0
Vest-Agder,,2447.0,2.6,-804.0,2018,Mars,-25.0
Vestfold,,3880.0,3.1,-369.0,2018,Mars,-9.0
Østfold,,4186.0,2.9,-450.0,2018,Mars,-10.0
Øvrige områder,,8.0,,-2.0,2018,Mars,-20.0
Akershus,,6489.0,2.0,-484.0,2018,April,-7.0
Aust-Agder,,1564.0,2.7,-269.0,2018,April,-15.0
Buskerud,,3508.0,2.4,-296.0,2018,April,-8.0
Finnmark Finnmárku,,1149.0,2.9,-264.0,2018,April,-19.0
Hedmark,,1831.0,1.9,-234.0,2018,April,-11.0
Hordaland,,7642.0,2.7,-1510.0,2018,April,-16.0
Landet,,66797.0,2.4,-11415.0,2018,April,-15.0
Møre og Romsdal,,3452.0,2.5,-821.0,2018,April,-19.0
Nordland,,2475.0,2.0,-358.0,2018,April,-13.0
Oppland,,1629.0,1.7,-127.0,2018,April,-7.0
Oslo,,9774.0,2.6,-934.0,2018,April,-9.0
Rogaland,,7370.0,2.9,-3495.0,2018,April,-32.0
Sogn og Fjordane,,944.0,1.6,-63.0,2018,April,-6.0
Telemark,,2231.0,2.6,-410.0,2018,April,-16.0
Troms Romsa,,1469.0,1.6,-296.0,2018,April,-17.0
Trøndelag,,4996.0,2.1,-524.0,2018,April,-9.0
Vest-Agder,,2410.0,2.6,-743.0,2018,April,-24.0
