Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_4_gr,Sort_Bygningstype_4_gr,Antall
4010,Siljan,01.01.2015,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,52
4010,Siljan,01.01.2015,Boligblokk,2,Leilighet,2,20
4010,Siljan,01.01.2015,Bygning for bofellesskap,6,Annen boligbygging,4,0
4010,Siljan,01.01.2015,Andre bygningstyper,5,Annen boligbygging,4,4
4010,Siljan,01.01.2016,Enebolig,1,Enebolig,1,901
4010,Siljan,01.01.2016,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,53
4010,Siljan,01.01.2016,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,52
4010,Siljan,01.01.2016,Boligblokk,2,Leilighet,2,34
4010,Siljan,01.01.2016,Bygning for bofellesskap,6,Annen boligbygging,4,0
4010,Siljan,01.01.2016,Andre bygningstyper,5,Annen boligbygging,4,4
4010,Siljan,01.01.2017,Enebolig,1,Enebolig,1,909
4010,Siljan,01.01.2017,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,53
4010,Siljan,01.01.2017,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,52
4010,Siljan,01.01.2017,Boligblokk,2,Leilighet,2,34
4010,Siljan,01.01.2017,Bygning for bofellesskap,6,Annen boligbygging,4,0
4010,Siljan,01.01.2017,Andre bygningstyper,5,Annen boligbygging,4,4
4010,Siljan,01.01.2018,Enebolig,1,Enebolig,1,913
4010,Siljan,01.01.2018,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,53
4010,Siljan,01.01.2018,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,52
4010,Siljan,01.01.2018,Boligblokk,2,Leilighet,2,34
4010,Siljan,01.01.2018,Bygning for bofellesskap,6,Annen boligbygging,4,0
4010,Siljan,01.01.2018,Andre bygningstyper,5,Annen boligbygging,4,4
4010,Siljan,01.01.2019,Enebolig,1,Enebolig,1,921
4010,Siljan,01.01.2019,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,53
4010,Siljan,01.01.2019,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,56
4010,Siljan,01.01.2019,Boligblokk,2,Leilighet,2,34
4010,Siljan,01.01.2019,Bygning for bofellesskap,6,Annen boligbygging,4,0
4010,Siljan,01.01.2019,Andre bygningstyper,5,Annen boligbygging,4,4
4010,Siljan,01.01.2020,Enebolig,1,Enebolig,1,928
4010,Siljan,01.01.2020,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,51
4010,Siljan,01.01.2020,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,59
4010,Siljan,01.01.2020,Boligblokk,2,Leilighet,2,34
4010,Siljan,01.01.2020,Bygning for bofellesskap,6,Annen boligbygging,4,0
4010,Siljan,01.01.2020,Andre bygningstyper,5,Annen boligbygging,4,4
4010,Siljan,01.01.2021,Enebolig,1,Enebolig,1,930
4010,Siljan,01.01.2021,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,51
4010,Siljan,01.01.2021,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,62
4010,Siljan,01.01.2021,Boligblokk,2,Leilighet,2,34
4010,Siljan,01.01.2021,Bygning for bofellesskap,6,Annen boligbygging,4,0
4010,Siljan,01.01.2021,Andre bygningstyper,5,Annen boligbygging,4,4
4010,Siljan,01.01.2022,Enebolig,1,Enebolig,1,934
