Kommunenummer,Kommune,År,Bygningstype,SortBygningstype,Største bygningstyper,SortStorsteBygningstype,Antall
4001,Porsgrunn,01.01.2010,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,16
4001,Porsgrunn,01.01.2010,"Tomannsbolig, horisontaldelt",13,Andre,10,8
4001,Porsgrunn,01.01.2010,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2010,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2010,Rekkehus,7,Rekkehus,7,0
4001,Porsgrunn,01.01.2010,Kjedehus inkl.atriumhus,14,Andre,10,4
4001,Porsgrunn,01.01.2010,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2010,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,12
4001,Porsgrunn,01.01.2010,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,0
4001,Porsgrunn,01.01.2010,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,7
4001,Porsgrunn,01.01.2010,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,0
4001,Porsgrunn,01.01.2010,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2010,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,0
4001,Porsgrunn,01.01.2010,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,0
4001,Porsgrunn,01.01.2010,Bo- og servicesenter,16,Andre,10,0
4001,Porsgrunn,01.01.2010,Studenthjem/studentboliger,15,Andre,10,34
4001,Porsgrunn,01.01.2010,Annen bygning for bofellesskap,19,Andre,10,0
4001,Porsgrunn,01.01.2010,Andre bygg enn boligbygg,11,Andre,10,1
4001,Porsgrunn,01.01.2011,Enebolig,1,Enebolig,1,30
4001,Porsgrunn,01.01.2011,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,2
4001,Porsgrunn,01.01.2011,Våningshus,8,Våningshus,8,2
4001,Porsgrunn,01.01.2011,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,15
4001,Porsgrunn,01.01.2011,"Tomannsbolig, horisontaldelt",13,Andre,10,0
4001,Porsgrunn,01.01.2011,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2011,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2011,Rekkehus,7,Rekkehus,7,3
4001,Porsgrunn,01.01.2011,Kjedehus inkl.atriumhus,14,Andre,10,3
4001,Porsgrunn,01.01.2011,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2011,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,8
4001,Porsgrunn,01.01.2011,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,0
4001,Porsgrunn,01.01.2011,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,15
4001,Porsgrunn,01.01.2011,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,22
4001,Porsgrunn,01.01.2011,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,2
4001,Porsgrunn,01.01.2011,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,0
4001,Porsgrunn,01.01.2011,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,0
4001,Porsgrunn,01.01.2011,Bo- og servicesenter,16,Andre,10,8
4001,Porsgrunn,01.01.2011,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2011,Annen bygning for bofellesskap,19,Andre,10,0
4001,Porsgrunn,01.01.2011,Andre bygg enn boligbygg,11,Andre,10,0
4001,Porsgrunn,01.01.2012,Enebolig,1,Enebolig,1,34
4001,Porsgrunn,01.01.2012,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,8
4001,Porsgrunn,01.01.2012,Våningshus,8,Våningshus,8,0
4001,Porsgrunn,01.01.2012,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,15
4001,Porsgrunn,01.01.2012,"Tomannsbolig, horisontaldelt",13,Andre,10,3
4001,Porsgrunn,01.01.2012,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2012,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2012,Rekkehus,7,Rekkehus,7,0
4001,Porsgrunn,01.01.2012,Kjedehus inkl.atriumhus,14,Andre,10,0
4001,Porsgrunn,01.01.2012,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2012,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,6
4001,Porsgrunn,01.01.2012,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,6
