Kommune,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Hele landet,2016-01-01,Menn,15-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",1.4,2,6,2
Hele landet,2016-01-01,Menn,15-24 år,KOLS (J44),"per 1000, standardisert",,2,6,2
Hele landet,2016-01-01,Menn,15-24 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",6.9,2,6,2
Hele landet,2016-01-01,Menn,15-24 år,Personskader (S00-T78),"per 1000, standardisert",14.5,2,6,2
Hele landet,2016-01-01,Menn,15-24 år,Hodeskader (S00-S09),"per 1000, standardisert",3.2,2,6,2
Hele landet,2016-01-01,Menn,15-24 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,2,6,2
Hele landet,2016-01-01,Menn,15-24 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.9,2,6,2
Hele landet,2016-01-01,Menn,25-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",3.9,2,7,2
Hele landet,2016-01-01,Menn,25-44 år,KOLS (J44),"per 1000, standardisert",0.0,2,7,2
Hele landet,2016-01-01,Menn,25-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",11.8,2,7,2
Hele landet,2016-01-01,Menn,25-44 år,Personskader (S00-T78),"per 1000, standardisert",10.6,2,7,2
Hele landet,2016-01-01,Menn,25-44 år,Hodeskader (S00-S09),"per 1000, standardisert",1.9,2,7,2
Hele landet,2016-01-01,Menn,25-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.1,2,7,2
Hele landet,2016-01-01,Menn,25-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.9,2,7,2
Hele landet,2016-01-01,Menn,45-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",33.7,2,8,2
Hele landet,2016-01-01,Menn,45-74 år,KOLS (J44),"per 1000, standardisert",2.1,2,8,2
Hele landet,2016-01-01,Menn,45-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",26.2,2,8,2
Hele landet,2016-01-01,Menn,45-74 år,Personskader (S00-T78),"per 1000, standardisert",13.1,2,8,2
Hele landet,2016-01-01,Menn,45-74 år,Hodeskader (S00-S09),"per 1000, standardisert",2.4,2,8,2
Hele landet,2016-01-01,Menn,45-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.0,2,8,2
Hele landet,2016-01-01,Menn,45-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.7,2,8,2
Hele landet,2016-01-01,Menn,45-64 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",23.8,2,9,2
Hele landet,2016-01-01,Menn,45-64 år,KOLS (J44),"per 1000, standardisert",0.9,2,9,2
