Kommune,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Porsgrunn,2018-2020,2018-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",86.7,3,1,13
Porsgrunn,2018-2020,2018-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",24.4,3,2,13
Porsgrunn,2018-2020,2018-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",181.0,3,3,13
Porsgrunn,2018-2020,2018-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",393.0,3,4,13
Porsgrunn,2019-2021,2019-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",92.9,1,1,13
Porsgrunn,2019-2021,2019-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",24.3,1,2,13
Porsgrunn,2019-2021,2019-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",198.8,1,3,13
Porsgrunn,2019-2021,2019-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",430.6,1,4,13
Porsgrunn,2019-2021,2019-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",99.2,2,1,13
Porsgrunn,2019-2021,2019-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",24.0,2,2,13
Porsgrunn,2019-2021,2019-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",217.3,2,3,13
Porsgrunn,2019-2021,2019-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",472.2,2,4,13
Porsgrunn,2019-2021,2019-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",86.4,3,1,13
Porsgrunn,2019-2021,2019-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",24.7,3,2,13
