Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Nome,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.96786422223084
Nome,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",19.9009368362695
Midt-Telemark,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.8702435549557
Midt-Telemark,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",5.53076294584591
Midt-Telemark,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",24.2491665992459
Midt-Telemark,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.2786655695417
Midt-Telemark,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.49780700359687
Midt-Telemark,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",21.9870333119818
Midt-Telemark,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Midt-Telemark,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Midt-Telemark,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Seljord,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.8788923588178
Seljord,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Seljord,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.0971867327634
Seljord,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.7634088425051
Seljord,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Seljord,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Seljord,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",10.3999431376055
Seljord,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Seljord,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Hjartdal,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.4742277729886
Hjartdal,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.3260493278165
Hjartdal,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",16.9904657197737
Hjartdal,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
