ogc_fid;SSBID0250M;pop_tot
1111;19470006679750;1
1112;19470006680750;22
1113;19470006681000;3
1114;19470006721250;5
1115;19470006721500;6
1116;19470006722000;2
1117;19470006722250;20
1118;19470006722500;20
1119;19470006722750;33
1120;19470006723000;8
1121;19470006729250;21
1122;19470006729500;15
1123;19470006729750;5
1124;19470006733000;12
1125;19470006733250;18
1126;19470006733500;33
1127;19470006733750;8
1128;19470006743250;3
1129;19470006743500;6
1130;19470006743750;15
1131;19470006744000;21
1132;19470006750250;2
1133;19470006750500;18
1134;19470006750750;6
1135;19470006751000;43
1136;19470006751250;19
1137;19470006752750;15
1138;19470006753000;6
1139;19470006753250;8
1140;19470006753500;16
1141;19470006783500;3
1142;19470006783750;3
1143;19470006784500;12
1144;19470006807750;2
1145;19470006808000;2
1146;19470006808250;8
1147;19472506611250;5
1148;19472506611500;14
1149;19472506611750;40
1150;19472506612000;15
1151;19472506612250;8
1152;19472506612500;8
1153;19472506618500;7
1154;19472506619000;15
1155;19472506619250;5
1156;19472506619500;11
1157;19472506619750;18
1158;19472506620000;11
1159;19472506620250;6
1160;19472506620750;4
1161;19472506621000;4
1162;19472506622000;1
1163;19472506622250;6
1164;19472506622500;4
1165;19472506623500;6
1166;19472506623750;6
1167;19472506624000;6
1168;19472506624250;4
1169;19472506624500;10
1170;19472506624750;4
1171;19472506625000;11
1172;19472506625250;16
1173;19472506625500;14
1174;19472506625750;50
1175;19472506626000;65
1176;19472506646500;5
1177;19472506647250;12
1178;19472506647500;25
1179;19472506656000;5
1180;19472506656250;1
1181;19472506667750;4
1182;19472506668000;16
1183;19472506668250;9
1184;19472506668500;2
1185;19472506669000;4
1186;19472506669750;46
1187;19472506670000;10
1188;19472506679250;5
1189;19472506681000;15
1190;19472506681250;4
1191;19472506681500;9
1192;19472506721000;5
1193;19472506721250;9
1194;19472506721500;14
1195;19472506721750;10
1196;19472506722000;39
1197;19472506722250;20
1198;19472506722500;55
1199;19472506722750;44
1200;19472506723000;12
1201;19472506728500;4
1202;19472506729250;5
1203;19472506729750;2
1204;19472506733250;14
1205;19472506733500;4
1206;19472506733750;2
1207;19472506749500;23
1208;19472506749750;17
1209;19472506750250;21
1210;19472506750500;53
1211;19472506750750;20
1212;19472506751000;67
1213;19472506751250;5
1214;19472506753250;1
1215;19472506783500;1
1216;19472506783750;10
1217;19472506826000;3
1218;19472506826250;9
1219;19475006600250;1
1220;19475006602500;2
1221;19475006611250;55
1222;19475006611500;27
1223;19475006611750;27
1224;19475006612000;19
1225;19475006612250;9
1226;19475006619000;7
1227;19475006619250;6
1228;19475006619500;7
1229;19475006619750;5
1230;19475006620000;11
1231;19475006621000;10
1232;19475006621250;8
1233;19475006621500;3
1234;19475006621750;11
1235;19475006622000;4
1236;19475006622500;34
1237;19475006624500;11
1238;19475006624750;9
1239;19475006625000;8
1240;19475006625250;2
1241;19475006625500;56
1242;19475006625750;97
1243;19475006626000;41
1244;19475006629250;6
1245;19475006646500;12
1246;19475006646750;2
1247;19475006651500;1
1248;19475006651750;3
1249;19475006654500;5
1250;19475006654750;2
1251;19475006656000;4
1252;19475006656250;7
1253;19475006656750;1
1254;19475006669000;5
1255;19475006669250;8
1256;19475006669500;10
1257;19475006669750;36
1258;19475006670000;21
1259;19475006670250;19
1260;19475006670500;11
1261;19475006678000;13
1262;19475006680500;2
1263;19475006681250;6
1264;19475006681750;3
1265;19475006691000;2
1266;19475006691250;6
1267;19475006691500;2
1268;19475006691750;6
1269;19475006717000;10
1270;19475006717500;3
1271;19475006721250;16
1272;19475006721500;3
1273;19475006721750;4
1274;19475006722000;11
1275;19475006722250;20
1276;19475006722500;11
1277;19475006722750;6
1278;19475006728000;10
1279;19475006728250;12
1280;19475006729000;2
1281;19475006729250;7
1282;19475006729750;3
1283;19475006732000;3
1284;19475006732500;6
1285;19475006732750;10
1286;19475006733000;16
1287;19475006733250;5
1288;19475006749500;27
1289;19475006749750;20
1290;19475006750000;32
1291;19475006750250;56
1292;19475006750500;43
1293;19475006750750;17
1294;19475006751250;40
1295;19475006783750;4
1296;19475006785500;2
1297;19475006785750;3
1298;19477506600750;2
1299;19477506601500;6
1300;19477506602250;1
1301;19477506602500;3
1302;19477506611250;56
1303;19477506611500;142
1304;19477506611750;33
1305;19477506612000;35
1306;19477506612250;13
1307;19477506614500;3
1308;19477506614750;17
1309;19477506615000;2
1310;19477506616750;5
1311;19477506617750;6
1312;19477506618000;35
1313;19477506618250;31
1314;19477506618750;9
1315;19477506619250;14
1316;19477506619500;9
1317;19477506619750;1
1318;19477506620000;38
1319;19477506621250;8
1320;19477506621500;5
1321;19477506621750;4
1322;19477506622250;26
1323;19477506622500;3
1324;19477506622750;12
1325;19477506624500;7
1326;19477506624750;7
1327;19477506625000;11
1328;19477506625250;14
1329;19477506625500;32
1330;19477506625750;41
1331;19477506626750;4
1332;19477506629250;183
1333;19477506629500;33
1334;19477506646500;1
1335;19477506646750;29
1336;19477506647000;29
1337;19477506647250;5
1338;19477506647500;14
1339;19477506647750;2
1340;19477506650750;21
1341;19477506651000;3
1342;19477506651250;5
1343;19477506651500;1
1344;19477506654750;9
1345;19477506656250;5
1346;19477506656500;2
1347;19477506667000;7
1348;19477506667250;24
1349;19477506667500;12
1350;19477506667750;4
1351;19477506669500;20
1352;19477506669750;17
