Dato,Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger
2025-06-01,Landet,Landet,Kontorarbeid,7122.0,1912.0
2025-06-01,Landet,Landet,Ledere,4211.0,821.0
2025-06-01,Landet,Landet,Meglere og konsulenter,2663.0,797.0
2025-06-01,Landet,Landet,Reiseliv og transport,8503.0,2812.0
2025-06-01,Landet,Landet,Serviceyrker og annet arbeid,10417.0,3076.0
2025-06-01,Landet,Landet,Undervisning,3338.0,2115.0
2025-06-01,Telemark kommuner,Bamble,Akademiske yrker,2.0,
2025-06-01,Telemark kommuner,Bamble,Barne- og ungdomsarbeid,6.0,3.0
2025-06-01,Telemark kommuner,Bamble,Butikk- og salgsarbeid,30.0,17.0
2025-06-01,Telemark kommuner,Bamble,Bygg og anlegg,25.0,2.0
2025-06-01,Telemark kommuner,Bamble,"Helse, pleie og omsorg",19.0,8.0
2025-06-01,Telemark kommuner,Bamble,Industriarbeid,38.0,3.0
2025-06-01,Telemark kommuner,Bamble,Ingen yrkesbakgrunn eller uoppgitt,49.0,
2025-06-01,Telemark kommuner,Bamble,Ingeniør- og ikt-fag,16.0,3.0
2025-06-01,Telemark kommuner,Bamble,"Jordbruk, skogbruk og fiske",2.0,2.0
2025-06-01,Telemark kommuner,Bamble,Kontorarbeid,18.0,1.0
2025-06-01,Telemark kommuner,Bamble,Ledere,7.0,
2025-06-01,Telemark kommuner,Bamble,Meglere og konsulenter,5.0,
2025-06-01,Telemark kommuner,Bamble,Reiseliv og transport,26.0,5.0
2025-06-01,Telemark kommuner,Bamble,Serviceyrker og annet arbeid,36.0,4.0
2025-06-01,Telemark kommuner,Bamble,Undervisning,10.0,1.0
2025-06-01,Telemark kommuner,Drangedal,Akademiske yrker,1.0,
2025-06-01,Telemark kommuner,Drangedal,Barne- og ungdomsarbeid,3.0,4.0
2025-06-01,Telemark kommuner,Drangedal,Butikk- og salgsarbeid,3.0,
2025-06-01,Telemark kommuner,Drangedal,Bygg og anlegg,11.0,1.0
2025-06-01,Telemark kommuner,Drangedal,"Helse, pleie og omsorg",3.0,3.0
2025-06-01,Telemark kommuner,Drangedal,Industriarbeid,6.0,
2025-06-01,Telemark kommuner,Drangedal,Ingen yrkesbakgrunn eller uoppgitt,26.0,
2025-06-01,Telemark kommuner,Drangedal,Ingeniør- og ikt-fag,3.0,
2025-06-01,Telemark kommuner,Drangedal,"Jordbruk, skogbruk og fiske",2.0,
2025-06-01,Telemark kommuner,Drangedal,Kontorarbeid,7.0,1.0
2025-06-01,Telemark kommuner,Drangedal,Ledere,2.0,
2025-06-01,Telemark kommuner,Drangedal,Meglere og konsulenter,1.0,
2025-06-01,Telemark kommuner,Drangedal,Reiseliv og transport,6.0,
2025-06-01,Telemark kommuner,Drangedal,Serviceyrker og annet arbeid,3.0,1.0
2025-06-01,Telemark kommuner,Drangedal,Undervisning,,2.0
2025-06-01,Telemark kommuner,Fyresdal,Barne- og ungdomsarbeid,,2.0
2025-06-01,Telemark kommuner,Fyresdal,Butikk- og salgsarbeid,1.0,
2025-06-01,Telemark kommuner,Fyresdal,"Helse, pleie og omsorg",,2.0
