År;Region;Alder;Utflytting;Innflytting;Nettoflytting
2016;3815 Drangedal;3 år;1;;-1
2016;3815 Drangedal;30 år;5;1;-4
2016;3815 Drangedal;31 år;3;2;-1
2016;3815 Drangedal;32 år;2;1;-1
2016;3815 Drangedal;33 år;2;2;0
2016;3815 Drangedal;34 år;4;3;-1
2016;3815 Drangedal;35 år;1;1;0
2016;3815 Drangedal;36 år;;2;2
2016;3815 Drangedal;37 år;2;2;0
2016;3815 Drangedal;38 år;3;1;-2
2016;3815 Drangedal;39 år;1;2;1
2016;3815 Drangedal;4 år;1;6;5
2016;3815 Drangedal;40 år;;3;3
2016;3815 Drangedal;41 år;1;;-1
2016;3815 Drangedal;42 år;6;2;-4
2016;3815 Drangedal;43 år;;;
2016;3815 Drangedal;44 år;1;3;2
2016;3815 Drangedal;45 år;1;2;1
2016;3815 Drangedal;46 år;;1;1
2016;3815 Drangedal;47 år;;1;1
2016;3815 Drangedal;48 år;1;4;3
2016;3815 Drangedal;49 år;1;2;1
2016;3815 Drangedal;5 år;1;3;2
2016;3815 Drangedal;50 år;1;2;1
2016;3815 Drangedal;51 år;1;1;0
2016;3815 Drangedal;52 år;;3;3
2016;3815 Drangedal;53 år;;1;1
2016;3815 Drangedal;54 år;1;2;1
2016;3815 Drangedal;55 år;2;1;-1
2016;3815 Drangedal;56 år;1;;-1
2016;3815 Drangedal;57 år;;1;1
2016;3815 Drangedal;58 år;1;;-1
2016;3815 Drangedal;59 år;3;1;-2
2016;3815 Drangedal;6 år;;3;3
2016;3815 Drangedal;60 år;;1;1
2016;3815 Drangedal;61 år;1;;-1
2016;3815 Drangedal;62 år;;2;2
2016;3815 Drangedal;63 år;;;
2016;3815 Drangedal;64 år;1;1;0
2016;3815 Drangedal;65 år;;;
2016;3815 Drangedal;66 år;1;;-1
2016;3815 Drangedal;67 år;1;;-1
2016;3815 Drangedal;68 år;1;2;1
2016;3815 Drangedal;69 år;;1;1
2016;3815 Drangedal;7 år;;1;1
2016;3815 Drangedal;70 år;;1;1
2016;3815 Drangedal;8 år;2;2;0
2016;3815 Drangedal;9 år;;1;1
2016;3816 Nome;0 år;3;3;0
2016;3816 Nome;1 år;1;5;4
2016;3816 Nome;10 år;2;4;2
2016;3816 Nome;11 år;;3;3
2016;3816 Nome;12 år;1;3;2
2016;3816 Nome;13 år;3;5;2
2016;3816 Nome;14 år;3;4;1
2016;3816 Nome;15 år;2;4;2
2016;3816 Nome;16 år;4;6;2
2016;3816 Nome;17 år;2;5;3
2016;3816 Nome;18 år;5;6;1
2016;3816 Nome;19 år;8;12;4
2016;3816 Nome;2 år;3;8;5
2016;3816 Nome;20 år;15;13;-2
2016;3816 Nome;21 år;11;12;1
2016;3816 Nome;22 år;10;11;1
2016;3816 Nome;23 år;8;5;-3
2016;3816 Nome;24 år;12;11;-1
2016;3816 Nome;25 år;16;11;-5
2016;3816 Nome;26 år;12;18;6
2016;3816 Nome;27 år;11;11;0
2016;3816 Nome;28 år;11;7;-4
2016;3816 Nome;29 år;11;16;5
2016;3816 Nome;3 år;3;5;2
2016;3816 Nome;30 år;10;11;1
2016;3816 Nome;31 år;7;4;-3
2016;3816 Nome;32 år;5;8;3
2016;3816 Nome;33 år;4;6;2
2016;3816 Nome;34 år;7;7;0
2016;3816 Nome;35 år;5;3;-2
2016;3816 Nome;36 år;6;7;1
2016;3816 Nome;37 år;3;5;2
2016;3816 Nome;38 år;4;7;3
2016;3816 Nome;39 år;4;6;2
2016;3816 Nome;4 år;6;9;3
2016;3816 Nome;40 år;5;1;-4
2016;3816 Nome;41 år;5;7;2
2016;3816 Nome;42 år;2;1;-1
2016;3816 Nome;43 år;1;4;3
2016;3816 Nome;44 år;5;7;2
2016;3816 Nome;45 år;3;4;1
2016;3816 Nome;46 år;2;3;1
2016;3816 Nome;47 år;;3;3
2016;3816 Nome;48 år;1;4;3
2016;3816 Nome;49 år;3;1;-2
2016;3816 Nome;5 år;5;6;1
2016;3816 Nome;50 år;5;4;-1
2016;3816 Nome;51 år;2;4;2
2016;3816 Nome;52 år;6;6;0
2016;3816 Nome;53 år;1;5;4
2016;3816 Nome;54 år;;2;2
2016;3816 Nome;55 år;4;1;-3
2016;3816 Nome;56 år;3;2;-1
2016;3816 Nome;57 år;3;3;0
