Kommunenummer,Kommune,År,Husholdningstype,Antall
4024,Hjartdal,01.01.2024,Aleneboende,248
4024,Hjartdal,01.01.2024,Aleneforsørger med små barn,7
4024,Hjartdal,01.01.2024,Aleneforsørger med store barn,22
4024,Hjartdal,01.01.2024,Andre husholdninger,0
4024,Hjartdal,01.01.2024,Flerfamiliehusholdninger,46
4024,Hjartdal,01.01.2024,Par eller aleneforsørger med voksne barn,74
4024,Hjartdal,01.01.2024,Par med små barn,57
4024,Hjartdal,01.01.2024,Par med store barn,67
4024,Hjartdal,01.01.2024,Par uten hjemmeboende barn,197
4024,Hjartdal,01.01.2025,Aleneboende,258
4024,Hjartdal,01.01.2025,Aleneforsørger med små barn,10
4024,Hjartdal,01.01.2025,Aleneforsørger med store barn,15
4024,Hjartdal,01.01.2025,Andre husholdninger,0
4024,Hjartdal,01.01.2025,Flerfamiliehusholdninger,49
4024,Hjartdal,01.01.2025,Par eller aleneforsørger med voksne barn,81
4024,Hjartdal,01.01.2025,Par med små barn,53
4024,Hjartdal,01.01.2025,Par med store barn,65
4024,Hjartdal,01.01.2025,Par uten hjemmeboende barn,193
4014,Kragerø,01.01.2014,Aleneboende,1960
4014,Kragerø,01.01.2014,Aleneforsørger med små barn,71
4014,Kragerø,01.01.2014,Aleneforsørger med store barn,186
4014,Kragerø,01.01.2014,Andre husholdninger,0
4014,Kragerø,01.01.2014,Flerfamiliehusholdninger,196
4014,Kragerø,01.01.2014,Par eller aleneforsørger med voksne barn,364
4014,Kragerø,01.01.2014,Par med små barn,367
4014,Kragerø,01.01.2014,Par med store barn,496
4014,Kragerø,01.01.2014,Par uten hjemmeboende barn,1304
4014,Kragerø,01.01.2015,Aleneboende,2004
4014,Kragerø,01.01.2015,Aleneforsørger med små barn,51
4014,Kragerø,01.01.2015,Aleneforsørger med store barn,181
4014,Kragerø,01.01.2015,Andre husholdninger,0
4014,Kragerø,01.01.2015,Flerfamiliehusholdninger,199
4014,Kragerø,01.01.2015,Par eller aleneforsørger med voksne barn,361
4014,Kragerø,01.01.2015,Par med små barn,368
4014,Kragerø,01.01.2015,Par med store barn,501
4014,Kragerø,01.01.2015,Par uten hjemmeboende barn,1321
4014,Kragerø,01.01.2016,Aleneboende,1998
4014,Kragerø,01.01.2016,Aleneforsørger med små barn,52
4014,Kragerø,01.01.2016,Aleneforsørger med store barn,191
4014,Kragerø,01.01.2016,Andre husholdninger,0
4014,Kragerø,01.01.2016,Flerfamiliehusholdninger,212
4014,Kragerø,01.01.2016,Par eller aleneforsørger med voksne barn,388
4014,Kragerø,01.01.2016,Par med små barn,352
4014,Kragerø,01.01.2016,Par med store barn,470
4014,Kragerø,01.01.2016,Par uten hjemmeboende barn,1329
4014,Kragerø,01.01.2017,Aleneboende,2052
4014,Kragerø,01.01.2017,Aleneforsørger med små barn,50
4014,Kragerø,01.01.2017,Aleneforsørger med store barn,178
4014,Kragerø,01.01.2017,Andre husholdninger,0
4014,Kragerø,01.01.2017,Flerfamiliehusholdninger,209
4014,Kragerø,01.01.2017,Par eller aleneforsørger med voksne barn,370
4014,Kragerø,01.01.2017,Par med små barn,344
4014,Kragerø,01.01.2017,Par med store barn,468
