region,statistikkvariabel,år,bygningstype,value
Skien,Boliger (bebodde og ubebodde),2026,Andre bygningstyper,856
Notodden,Boliger (bebodde og ubebodde),2006,Enebolig,4472
Notodden,Boliger (bebodde og ubebodde),2006,Tomannsbolig,575
Notodden,Boliger (bebodde og ubebodde),2006,"Rekkehus, kjedehus og andre småhus",479
Notodden,Boliger (bebodde og ubebodde),2006,Boligblokk,388
Notodden,Boliger (bebodde og ubebodde),2006,Bygning for bofellesskap,273
Notodden,Boliger (bebodde og ubebodde),2006,Andre bygningstyper,335
Notodden,Boliger (bebodde og ubebodde),2007,Enebolig,4461
Notodden,Boliger (bebodde og ubebodde),2007,Tomannsbolig,675
Notodden,Boliger (bebodde og ubebodde),2007,"Rekkehus, kjedehus og andre småhus",502
Notodden,Boliger (bebodde og ubebodde),2007,Boligblokk,366
Notodden,Boliger (bebodde og ubebodde),2007,Bygning for bofellesskap,290
Notodden,Boliger (bebodde og ubebodde),2007,Andre bygningstyper,365
Notodden,Boliger (bebodde og ubebodde),2008,Enebolig,4426
Notodden,Boliger (bebodde og ubebodde),2008,Tomannsbolig,664
Notodden,Boliger (bebodde og ubebodde),2008,"Rekkehus, kjedehus og andre småhus",505
Notodden,Boliger (bebodde og ubebodde),2008,Boligblokk,383
Notodden,Boliger (bebodde og ubebodde),2008,Bygning for bofellesskap,290
Notodden,Boliger (bebodde og ubebodde),2008,Andre bygningstyper,364
Notodden,Boliger (bebodde og ubebodde),2009,Enebolig,4445
Notodden,Boliger (bebodde og ubebodde),2009,Tomannsbolig,652
Notodden,Boliger (bebodde og ubebodde),2009,"Rekkehus, kjedehus og andre småhus",515
Notodden,Boliger (bebodde og ubebodde),2009,Boligblokk,383
Notodden,Boliger (bebodde og ubebodde),2009,Bygning for bofellesskap,290
Notodden,Boliger (bebodde og ubebodde),2009,Andre bygningstyper,369
Notodden,Boliger (bebodde og ubebodde),2010,Enebolig,4461
Notodden,Boliger (bebodde og ubebodde),2010,Tomannsbolig,652
Notodden,Boliger (bebodde og ubebodde),2010,"Rekkehus, kjedehus og andre småhus",517
Notodden,Boliger (bebodde og ubebodde),2010,Boligblokk,383
Notodden,Boliger (bebodde og ubebodde),2010,Bygning for bofellesskap,292
Notodden,Boliger (bebodde og ubebodde),2010,Andre bygningstyper,367
Notodden,Boliger (bebodde og ubebodde),2011,Enebolig,4462
Notodden,Boliger (bebodde og ubebodde),2011,Tomannsbolig,650
Notodden,Boliger (bebodde og ubebodde),2011,"Rekkehus, kjedehus og andre småhus",520
Notodden,Boliger (bebodde og ubebodde),2011,Boligblokk,411
Notodden,Boliger (bebodde og ubebodde),2011,Bygning for bofellesskap,289
Notodden,Boliger (bebodde og ubebodde),2011,Andre bygningstyper,378
Notodden,Boliger (bebodde og ubebodde),2012,Enebolig,4457
Notodden,Boliger (bebodde og ubebodde),2012,Tomannsbolig,654
Notodden,Boliger (bebodde og ubebodde),2012,"Rekkehus, kjedehus og andre småhus",527
