region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Skien (-2019),Folkemengde,2022,90 år eller eldre,486,2011,08825
Skien (-2019),Folkemengde,2023,0 år,664,2011,08825
Skien (-2019),Folkemengde,2023,1-5 år,3460,2011,08825
Skien (-2019),Folkemengde,2023,6-12 år,4841,2011,08825
Skien (-2019),Folkemengde,2023,13-15 år,2053,2011,08825
Skien (-2019),Folkemengde,2023,16-19 år,2707,2011,08825
Skien (-2019),Folkemengde,2023,20-66 år,33871,2011,08825
Skien (-2019),Folkemengde,2023,67-79 år,7338,2011,08825
Skien (-2019),Folkemengde,2023,80-89 år,2187,2011,08825
Skien (-2019),Folkemengde,2023,90 år eller eldre,490,2011,08825
