Kommune,Forbrukergruppe,År,Verdi
Nissedal,Husholdninger,2025,25.1
Nissedal,Hytter og fritidshus,2025,13.9
Nissedal,I alt,2025,33.2
Nissedal,Primærnæringer,2025,0.0
Nissedal,Sekundærnæringer,2025,2.7
Nissedal,Tertiærnæringer,2025,5.4
Nome,Boliger,2025,49.7
Nome,Husholdninger,2025,50.6
Nome,Hytter og fritidshus,2025,0.9
Nome,I alt,2025,96.9
Nome,Primærnæringer,2025,1.6
Nome,Sekundærnæringer,2025,27.5
Nome,Tertiærnæringer,2025,17.2
Notodden,Boliger,2025,96.8
Notodden,Husholdninger,2025,100.1
Notodden,Hytter og fritidshus,2025,3.3
Notodden,I alt,2025,181.0
Notodden,Primærnæringer,2025,0.6
Notodden,Sekundærnæringer,2025,24.3
Notodden,Tertiærnæringer,2025,56.0
Porsgrunn,Boliger,2025,257.7
Porsgrunn,Husholdninger,2025,263.1
