Kommune,År (intervall),År,Kjønn,Alder,Utdanningsnivå,Måltall,Antall,SortKjonn,SortKommune
Kragerø,2015-2021,2015-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.0,3,7
Kragerø,2016-2022,2016-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.7,2,7
Kragerø,2016-2022,2016-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.8,3,7
Kragerø,2017-2023,2017-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.2,2,7
Kragerø,2017-2023,2017-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.6,3,7
Kragerø,2018-2024,2018-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.1,2,7
Kragerø,2018-2024,2018-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.7,3,7
Drangedal,2004-2010,2004-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.0,2,4
Drangedal,2004-2010,2004-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.3,3,4
Drangedal,2005-2011,2005-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.7,2,4
Drangedal,2005-2011,2005-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.3,3,4
Drangedal,2006-2012,2006-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.6,2,4
Drangedal,2006-2012,2006-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.8,3,4
