Kommunenummer,Geografi,År,Alder,Innvandringsbakgrunn,Andel
4030,Nissedal,2023-01-01,alle aldre,innvandrere,15.2046783625731
4030,Nissedal,2023-01-01,alle aldre,totalt,5.15901060070671
4030,Nissedal,2024-01-01,alle aldre,innvandrere,14.1242937853107
4030,Nissedal,2024-01-01,alle aldre,totalt,4.70588235294118
4032,Fyresdal,2015-01-01,alle aldre,innvandrere,
4032,Fyresdal,2015-01-01,alle aldre,totalt,
4032,Fyresdal,2016-01-01,alle aldre,innvandrere,
4032,Fyresdal,2016-01-01,alle aldre,totalt,
4032,Fyresdal,2017-01-01,alle aldre,innvandrere,
4032,Fyresdal,2017-01-01,alle aldre,totalt,
4032,Fyresdal,2018-01-01,alle aldre,innvandrere,
4032,Fyresdal,2018-01-01,alle aldre,totalt,6.37795275590551
4032,Fyresdal,2019-01-01,alle aldre,innvandrere,
4032,Fyresdal,2019-01-01,alle aldre,totalt,7.19482619240097
4032,Fyresdal,2020-01-01,alle aldre,innvandrere,
4032,Fyresdal,2020-01-01,alle aldre,totalt,6.76873489121676
4032,Fyresdal,2021-01-01,alle aldre,innvandrere,
4032,Fyresdal,2021-01-01,alle aldre,totalt,5.31197301854975
4032,Fyresdal,2022-01-01,alle aldre,innvandrere,
4032,Fyresdal,2022-01-01,alle aldre,totalt,4.53767123287671
4032,Fyresdal,2023-01-01,alle aldre,innvandrere,18.3206106870229
4032,Fyresdal,2023-01-01,alle aldre,totalt,7.19665271966527
4032,Fyresdal,2024-01-01,alle aldre,innvandrere,10.5590062111801
4032,Fyresdal,2024-01-01,alle aldre,totalt,5.93013809910642
4034,Tokke,2015-01-01,alle aldre,innvandrere,
4034,Tokke,2015-01-01,alle aldre,totalt,
4034,Tokke,2016-01-01,alle aldre,innvandrere,
4034,Tokke,2016-01-01,alle aldre,totalt,
4034,Tokke,2017-01-01,alle aldre,innvandrere,
4034,Tokke,2017-01-01,alle aldre,totalt,
4034,Tokke,2018-01-01,alle aldre,innvandrere,
4034,Tokke,2018-01-01,alle aldre,totalt,
4034,Tokke,2019-01-01,alle aldre,innvandrere,
4034,Tokke,2019-01-01,alle aldre,totalt,
4034,Tokke,2020-01-01,alle aldre,innvandrere,
4034,Tokke,2020-01-01,alle aldre,totalt,
4034,Tokke,2021-01-01,alle aldre,innvandrere,
4034,Tokke,2021-01-01,alle aldre,totalt,
4034,Tokke,2022-01-01,alle aldre,innvandrere,
4034,Tokke,2022-01-01,alle aldre,totalt,
4034,Tokke,2023-01-01,alle aldre,innvandrere,
4034,Tokke,2023-01-01,alle aldre,totalt,
4034,Tokke,2024-01-01,alle aldre,innvandrere,
4034,Tokke,2024-01-01,alle aldre,totalt,
4036,Vinje,2015-01-01,alle aldre,innvandrere,
4036,Vinje,2015-01-01,alle aldre,totalt,
4036,Vinje,2016-01-01,alle aldre,innvandrere,
4036,Vinje,2016-01-01,alle aldre,totalt,
4036,Vinje,2017-01-01,alle aldre,innvandrere,
4036,Vinje,2017-01-01,alle aldre,totalt,
4036,Vinje,2018-01-01,alle aldre,innvandrere,
4036,Vinje,2018-01-01,alle aldre,totalt,
4036,Vinje,2019-01-01,alle aldre,innvandrere,
4036,Vinje,2019-01-01,alle aldre,totalt,
4036,Vinje,2020-01-01,alle aldre,innvandrere,
4036,Vinje,2020-01-01,alle aldre,totalt,
4036,Vinje,2021-01-01,alle aldre,innvandrere,
4036,Vinje,2021-01-01,alle aldre,totalt,
4036,Vinje,2022-01-01,alle aldre,innvandrere,
4036,Vinje,2022-01-01,alle aldre,totalt,
4036,Vinje,2023-01-01,alle aldre,innvandrere,
4036,Vinje,2023-01-01,alle aldre,totalt,
4036,Vinje,2024-01-01,alle aldre,innvandrere,
4036,Vinje,2024-01-01,alle aldre,totalt,
