ogc_fid;pop_tot;ssbid250m
1030;2;23397506663500
1031;2;23400006664000
1032;1;23397506664500
1033;4;23397506664750
1034;3;23395006665250
1035;6;23392506666250
1036;5;23400006666000
1037;7;23395006666000
1038;1;23395006666250
1039;3;23395006666500
1040;11;23395006667000
1041;6;23400006667000
1042;3;23400006667250
1043;29;23395006667250
1044;5;23452506666750
1045;1;23455006666750
1046;1;23452506667000
1047;3;23455006667250
1048;6;23455006667500
1049;1;23452506667750
1050;5;23455006668250
1051;2;23452506668500
1052;4;23457506668500
1053;2;23452506669000
1054;2;23407506666250
1055;5;23405006666500
1056;3;23407506666500
1057;1;23402506666750
1058;2;23402506667000
1059;3;23412506668000
1060;1;23392506667000
1061;1;23392506667250
1062;5;23392506667500
1063;2;23390006667500
1064;3;23390006667750
1065;3;23392506667750
1066;10;23387506667750
1067;2;23392506668000
1068;9;23397506667250
1069;3;23395006667500
1070;19;23395006667750
1071;3;23397506667750
1072;12;23395006668000
1073;5;23397506668500
1074;7;23395006668500
1075;4;23395006668750
1076;6;23385006668750
1077;3;23382506669000
1078;8;23385006669000
1079;3;23392506668250
1080;6;23387506668500
1081;6;23390006668500
1082;4;23390006668750
1083;8;23387506668750
1084;2;23387506669000
1085;3;23390006669000
1086;7;23390006669250
1087;12;23387506669250
1088;8;23387506669500
1089;3;23390006669500
1090;9;23387506669750
1091;2;23390006669750
1092;13;23385006669250
1093;3;23385006669500
1094;7;23382506669750
1095;26;23385006669750
1096;2;23382506670000
1097;10;23385006670000
1098;1;23382506670250
1099;1;23462506668500
1100;1;23460006668750
1101;5;23460006669000
1102;3;23462506669000
1103;3;23460006669250
1104;1;23462506669500
1105;1;23460006669500
1106;4;23470006670000
1107;3;23465006670750
1108;4;23465006671000
1109;3;23420006670250
1110;1;23420006670500
1111;1;23620006680000
1112;4;23612506680250
1113;2;23620006680500
1114;2;23625006678750
1115;4;23625006680000
1116;2;23625006680250
1117;1;23620006683500
1118;4;23562506662750
1119;1;23605006664250
1120;2;23605006664500
1121;4;23590006665750
1122;1;23552506666000
1123;1;23555006667250
1124;6;23565006666250
1125;2;23560006666000
1126;10;23557506666000
1127;3;23560006666250
1128;3;23562506666250
1129;1;23572506667000
1130;2;23560006666750
1131;1;23557506667000
1132;2;23560006667250
1133;1;23567506666500
1134;2;23570006667000
1135;3;23567506667750
1136;3;23565006668000
1137;1;23585006666750
1138;1;23585006667000
1139;2;23582506667500
1140;3;23580006667500
1141;7;23542506667750
1142;1;23540006668000
1143;5;23572506667250
1144;2;23572506667500
1145;2;23570006668750
1146;3;23567506668750
1147;2;23565006669250
1148;3;23582506670500
1149;3;23580006671000
1150;1;23582506671000
1151;1;23442506669000
1152;1;23437506669750
1153;2;23425006671500
1154;1;23392506670000
1155;2;23387506670000
1156;3;23457506672250
1157;3;23460006672500
1158;2;23432506672250
1159;4;23437506672750
1160;1;23440006673000
1161;4;23417506673500
1162;1;23417506673750
1163;1;23465006672750
1164;1;23395006674000
1165;1;23392506674250
1166;4;23390006674750
1167;2;23387506674750
1168;3;23382506674250
1169;1;23385006674500
1170;2;23382506674750
1171;4;23395006674750
1172;2;23390006675000
1173;1;23392506675000
1174;2;23387506675500
1175;11;23390006675500
1176;3;23392506675500
1177;1;23395006676250
1178;7;23410006676500
1179;2;23425006675250
1180;1;23432506676000
1181;2;23480006667250
1182;2;23477506669250
1183;1;23477506669500
1184;3;23477506669750
1185;4;23480006669250
1186;2;23480006670000
1187;1;23472506669750
1188;5;23490006671250
1189;4;23485006672500
1190;1;23482506672750
1191;1;23500006670750
1192;3;23497506670750
1193;3;23505006671250
1194;4;23505006671500
1195;1;23502506671500
1196;4;23502506671750
1197;4;23517506670250
1198;4;23520006670750
1199;5;23517506671500
1200;8;23517506671750
1201;2;23517506672000
1202;3;23517506672250
1203;2;23532506672500
1204;1;23532506672750
1205;6;23517506672500
1206;3;23515006672500
1207;2;23512506673750
1208;1;23495006674500
1209;4;23512506674750
1210;2;23507506674750
1211;2;23510006675000
1212;2;23507506675250
1213;1;23505006675000
1214;3;23505006675500
1215;4;23507506676000
1216;2;23485006673250
1217;4;23515006674000
1218;4;23515006675000
1219;2;23532506676000
1220;4;23535006676250
1221;2;23530006676250
1222;3;23480006677250
1223;1;23480006677500
1224;1;23490006678000
1225;1;23532506676500
1226;3;23532506676750
1227;2;23505006676000
1228;1;23505006676250
1229;2;23552506674250
1230;7;23552506674500
1231;1;23537506676000
1232;3;23537506676250
1233;1;23562506674000
1234;3;23585006676750
1235;3;23587506677000
1236;2;23577506676500
1237;7;23562506678750
1238;2;23560006678750
1239;2;23565006678750
1240;1;23590006679000
1241;2;23557506680000
1242;1;23392506675750
1243;1;23392506676000
1244;3;23395006676500
1245;4;23395006677000
1246;1;23392506676750
1247;5;23392506677000
1248;6;23390006677000
1249;4;23382506676750
1250;2;23397506678000
1251;2;23395006678000
1252;2;23390006677750
1253;3;23395006678750
1254;2;23387506678250
1255;2;23387506678500
1256;2;23392506678500
1257;4;23392506678750
1258;4;23387506678750
