Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Telemark,2017,menn,0-44 år,Skader,"per 1000, standardisert",119.627270229144
Telemark,2017,menn,0-24 år,Skader,"per 1000, standardisert",126.035525059665
Telemark,2017,menn,0-14 år,Skader,"per 1000, standardisert",129.036152668871
Telemark,2017,menn,15-24 år,Skader,"per 1000, standardisert",122.165053256291
Telemark,2017,menn,25-44 år,Skader,"per 1000, standardisert",114.654441264208
Telemark,2017,menn,45-74 år,Skader,"per 1000, standardisert",98.4676493721103
Telemark,2017,menn,45-64 år,Skader,"per 1000, standardisert",102.219157639115
Telemark,2017,menn,65-74 år,Skader,"per 1000, standardisert",89.4594974626041
Telemark,2017,menn,75-79 år,Skader,"per 1000, standardisert",95.3147707489739
Telemark,2017,kvinner,0-74 år,Skader,"per 1000, standardisert",90.9934899702945
Telemark,2017,kvinner,0-44 år,Skader,"per 1000, standardisert",90.1382874944711
Telemark,2017,kvinner,0-24 år,Skader,"per 1000, standardisert",99.8301871013618
Telemark,2017,kvinner,0-14 år,Skader,"per 1000, standardisert",100.160717040053
Telemark,2017,kvinner,15-24 år,Skader,"per 1000, standardisert",99.3504266179968
Telemark,2017,kvinner,25-44 år,Skader,"per 1000, standardisert",80.356835566316
Telemark,2017,kvinner,45-74 år,Skader,"per 1000, standardisert",92.824520864817
Telemark,2017,kvinner,45-64 år,Skader,"per 1000, standardisert",93.2643221661899
Telemark,2017,kvinner,65-74 år,Skader,"per 1000, standardisert",91.9868100185552
Telemark,2017,kvinner,75-79 år,Skader,"per 1000, standardisert",111.481015895551
Telemark,2018,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",101.625783977901
Telemark,2018,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",104.2702183137
Telemark,2018,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",108.530940860886
Telemark,2018,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",101.7515561207
Telemark,2018,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",117.019942406561
Telemark,2018,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",101.389748391918
Telemark,2018,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",97.8519387354794
Telemark,2018,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",100.272973080944
Telemark,2018,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",92.3691723535547
Telemark,2018,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",106.249075779569
Telemark,2018,menn,0-74 år,Skader,"per 1000, standardisert",110.96239519151
Telemark,2018,menn,0-44 år,Skader,"per 1000, standardisert",118.486903104156
Telemark,2018,menn,0-24 år,Skader,"per 1000, standardisert",121.838342644604
Telemark,2018,menn,0-14 år,Skader,"per 1000, standardisert",111.467155444516
Telemark,2018,menn,15-24 år,Skader,"per 1000, standardisert",134.689452924578
Telemark,2018,menn,25-44 år,Skader,"per 1000, standardisert",117.250693424654
Telemark,2018,menn,45-74 år,Skader,"per 1000, standardisert",99.5489257727174
Telemark,2018,menn,45-64 år,Skader,"per 1000, standardisert",102.750645115238
Telemark,2018,menn,65-74 år,Skader,"per 1000, standardisert",91.983978224576
Telemark,2018,menn,75-79 år,Skader,"per 1000, standardisert",112.117744984651
Telemark,2018,kvinner,0-74 år,Skader,"per 1000, standardisert",91.959396143186
Telemark,2018,kvinner,0-44 år,Skader,"per 1000, standardisert",89.2861106317753
Telemark,2018,kvinner,0-24 år,Skader,"per 1000, standardisert",94.4294010664234
Telemark,2018,kvinner,0-14 år,Skader,"per 1000, standardisert",91.494766465341
Telemark,2018,kvinner,15-24 år,Skader,"per 1000, standardisert",98.1567400695731
Telemark,2018,kvinner,25-44 år,Skader,"per 1000, standardisert",84.8452461290688
Telemark,2018,kvinner,45-74 år,Skader,"per 1000, standardisert",96.1572551721238
Telemark,2018,kvinner,45-64 år,Skader,"per 1000, standardisert",97.7516938616775
Telemark,2018,kvinner,65-74 år,Skader,"per 1000, standardisert",92.7527780049513
Telemark,2018,kvinner,75-79 år,Skader,"per 1000, standardisert",101.311093098203
Telemark,2019,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",100.740749068436
Telemark,2019,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",106.006675453156
Telemark,2019,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",114.19209814774
Telemark,2019,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",113.625062815812
